slug_id,slug_name,report_title,published_date,markets,market_types,offices,hasCorrectionsInLastThreeDays,sectionNames
1034,MD_DA105,Whey - Western & Eastern Europe Report,07/21/2022 08:25:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1035,MD_DA106,Skim Milk Powder - Europe,07/21/2022 08:25:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1036,MD_DA107,Whole Milk Powder - Europe,07/21/2022 08:26:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1038,MD_DA126,Skim Milk Powder - Oceania,07/21/2022 08:27:01,[],['Point of Sale - Dairy'],['Madison'],False,[]
1039,MD_DA127,Whole Milk Powder - Oceania,07/21/2022 08:28:01,[],['Point of Sale - Dairy'],['Madison'],False,[]
1041,MD_DA136,Skim Milk Powder - South America,07/21/2022 08:29:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1042,MD_DA137,Whole Milk Powder - South America,07/21/2022 08:30:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1043,MD_DA340,Buttermilk - Western U.S.,07/28/2022 09:24:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1044,MD_DA350,Buttermilk - Eastern and Central U.S.,07/28/2022 09:24:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1045,MD_DA530,Dry Whey - Central Report,07/28/2022 09:25:03,[],['Point of Sale - Dairy'],['Madison'],False,[]
1046,MD_DA540,Dry Whey - Western U.S.,07/28/2022 09:25:04,[],['Point of Sale - Dairy'],['Madison'],False,[]
1047,MD_DA560,Dry Whey - Eastern U.S.,07/28/2022 09:25:03,[],['Point of Sale - Dairy'],['Madison'],False,[]
1048,MD_DA640,Nonfat Dry Milk - Western U.S.,07/28/2022 09:25:03,[],['Point of Sale - Dairy'],['Madison'],False,[]
1049,MD_DA650,Nonfat Dry Milk - Eastern and Central U.S.,07/28/2022 09:25:03,[],['Point of Sale - Dairy'],['Madison'],False,[]
1050,MD_DA710,Dry Whole Milk - U.S.,07/28/2022 09:26:03,[],['Point of Sale - Dairy'],['Madison'],False,[]
1051,MD_DA751,National Casein Report for U.S. Imports,07/28/2022 09:26:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1052,MD_DA770,Lactose - Central and Western U.S.,07/28/2022 09:26:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
1053,MD_DA771,Whey Protein Concentrate - Central and Western U.S.,07/28/2022 09:26:02,[],['Point of Sale - Dairy'],['Madison'],False,[]
